Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
veg_1_r1_trim	(1, 1.530293222829942)	(2, 0.019791724271784772)	(3, 0.0016662720626236787)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 4.553787003443594e-05)	(30, 2.9669468800797535e-05)	(35, 0.0006003768876263401)	(40, 0.0012375864146612176)	(45, 0.002114744460265329)	(50, 0.0007368974810751501)	(55, 0.0016103986849032516)	(60, 0.0)	(65, 0.0)	(70, 0.0021085415482370315)	(75, 0.0)	(80, 0.0)	(85, 6.37687348644128e-05)	(90, 0.00223794933137032)	(95, 0.0008555046767913053)	(100, 0.0)	(105, 4.106909766396397e-05)	(110, 0.002409982937083781)	(115, 0.0001417640264871907)	(120, 0.00032608529916993166)	(125, 0.0)	(130, 0.0)	(135, 3.31583651066312e-05)	(140, 0.00037808953580779436)	(145, 0.0016615118799734622)	(150, 0.0)
veg_1_r2_trim	(1, 1.155671795185288)	(2, 0.02685354396576132)	(3, 3.44983863897242e-06)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0005623236981525044)	(8, 0.0)	(9, 0.0)	(10, 0.0037361752460071305)	(15, 9.797541734681672e-05)	(20, 4.070809593987456e-05)	(25, 0.00017939160922656583)	(30, 6.209888818771577e-06)	(35, 0.0)	(40, 0.0)	(45, 0.0008305705470777638)	(50, 0.0009095538730796371)	(55, 0.0001886052513850655)	(60, 0.00013960839913156663)	(65, 0.0001576465505150852)	(70, 0.00018055424674864347)	(75, 0.0019574684738558282)	(80, 0.0006870836910047224)	(85, 0.0009613829919232669)	(90, 4.786686418615998e-05)	(95, 0.0)	(100, 0.0009878591416307694)	(105, 0.0)	(110, 1.3942626190823146e-06)	(115, 0.0010607859913007028)	(120, 0.0)	(125, 1.4028050461647007e-06)	(130, 0.0008151287330205837)	(135, 0.00015873685423387277)	(140, 0.0)	(145, 0.001319540457522784)	(150, 0.0)
veg_2_r1_trim	(1, 1.5550241273673775)	(2, 0.01941238414244663)	(3, 0.0018110318921233776)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 4.348453110691876e-05)	(30, 4.24965088006193e-05)	(35, 0.0006172057421837527)	(40, 0.0012581786678742283)	(45, 0.0021220963819507015)	(50, 0.000739858551993619)	(55, 0.001612772063415028)	(60, 0.0)	(65, 0.0)	(70, 0.0021546620258602062)	(75, 0.0)	(80, 0.0)	(85, 7.965000540927428e-05)	(90, 0.002273442295387694)	(95, 0.0008475437382941376)	(100, 0.0)	(105, 4.3611984392916146e-05)	(110, 0.0024241915790994)	(115, 0.0001221126331386345)	(120, 0.0003185373733837545)	(125, 0.0)	(130, 0.0)	(135, 3.2957603339064625e-05)	(140, 0.00039989812257491066)	(145, 0.0016877658899382016)	(150, 0.0)
veg_2_r2_trim	(1, 1.1765357568975545)	(2, 0.02755832158900976)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0005089666709105264)	(8, 0.0)	(9, 0.0)	(10, 0.003813791035036352)	(15, 9.339291340008687e-05)	(20, 4.05196767132652e-05)	(25, 0.00016010213725729176)	(30, 4.941454511699919e-06)	(35, 0.0)	(40, 0.0)	(45, 0.000825314615243985)	(50, 0.0008624269694247598)	(55, 0.0001813936093390485)	(60, 0.00012357512871795484)	(65, 0.00013495783546456803)	(70, 0.0001483246002198398)	(75, 0.002011114794061573)	(80, 0.0007359596409229172)	(85, 0.0009562947854417838)	(90, 5.790003233791037e-05)	(95, 0.0)	(100, 0.0009985199121611543)	(105, 0.0)	(110, 9.91895081464566e-07)	(115, 0.0010558275231133153)	(120, 0.0)	(125, 1.990411530820234e-06)	(130, 0.0008258515066060869)	(135, 0.00016778416245341992)	(140, 0.0)	(145, 0.0012933014268125917)	(150, 0.0)
veg_3_r1_trim	(1, 1.885444705910903)	(2, 0.0392140785934365)	(3, 0.0)	(4, 0.00011191400574919918)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 1.6493451263394832e-05)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 1.7689194484792186e-06)	(95, 4.128278054766232e-06)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.00011573705082945113)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 1.8356456122240213e-05)	(140, 0.0)	(145, 0.0)	(150, 0.0)
veg_3_r2_trim	(1, 1.7140601865276623)	(2, 0.04241246307353204)	(3, 3.239615955897871e-05)	(4, 0.01011054688781581)	(5, 0.0005271738691870172)	(6, 0.0)	(7, 0.0015874118183899567)	(8, 0.0)	(9, 0.0002444437493995666)	(10, 0.0024650532318968347)	(15, 0.0010325539583070852)	(20, 0.0)	(25, 0.0002750728457098738)	(30, 3.29855142406034e-05)	(35, 0.0)	(40, 0.004621917352400798)	(45, 4.536144416982377e-05)	(50, 0.004772636032101218)	(55, 0.00011017609380263008)	(60, 2.0033483610975318e-05)	(65, 7.601558724955081e-05)	(70, 0.0)	(75, 0.0002587402744673217)	(80, 0.0)	(85, 4.126812052958294e-06)	(90, 0.0)	(95, 0.00026185077947374385)	(100, 0.00045834355782585907)	(105, 0.0)	(110, 0.0)	(115, 0.0006560401197526541)	(120, 0.0)	(125, 0.0012910775933022583)	(130, 1.952275559080695e-05)	(135, 0.0002824525667841478)	(140, 0.0004197099341962404)	(145, 1.1872480629929129e-06)	(150, 0.0)
veg_4_r1_trim	(1, 2.083056363067609)	(2, 0.004989703292106073)	(3, 0.010355003695588661)	(4, 0.10962219025647361)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 5.216682062399604e-07)	(35, 0.0008148834231531022)	(40, 0.0017957606869138355)	(45, 0.00041166305398857646)	(50, 0.0)	(55, 0.0)	(60, 9.080867188998148e-05)	(65, 0.0007343858911724248)	(70, 0.00028398240914816755)	(75, 0.0)	(80, 3.7600608849947726e-05)	(85, 0.00026379458682224745)	(90, 0.0)	(95, 0.0)	(100, 0.000894254878360392)	(105, 0.0)	(110, 0.0)	(115, 0.0014845511180915348)	(120, 4.301219567796253e-05)	(125, 0.0007872157010407895)	(130, 1.682893458465858e-05)	(135, 0.0)	(140, 1.0556841730773089e-05)	(145, 0.0015333009068585995)	(150, 0.0)
veg_4_r2_trim	(1, 1.660358330599169)	(2, 0.07504899781692004)	(3, 0.006820739210066587)	(4, 0.15943575715278402)	(5, 2.6083132734480256e-06)	(6, 2.0866506187584205e-05)	(7, 0.0)	(8, 0.0)	(9, 1.825819291413618e-05)	(10, 0.0002983910384824541)	(15, 3.912469910172038e-05)	(20, 0.0006385150893400767)	(25, 0.0010292404177025909)	(30, 0.0013474689767178176)	(35, 0.00022797954924321743)	(40, 5.217201298413234e-07)	(45, 5.739282121513741e-06)	(50, 0.0006021478624690107)	(55, 0.0)	(60, 0.0002614663483728777)	(65, 0.0002755904410369867)	(70, 0.0004165771369489664)	(75, 5.743306357876165e-06)	(80, 0.0)	(85, 0.0)	(90, 0.0028038636990962034)	(95, 0.0)	(100, 5.229560692166037e-07)	(105, 6.802176700730189e-05)	(110, 0.0)	(115, 0.0)	(120, 0.000130610203948935)	(125, 0.00023842290078220042)	(130, 0.0)	(135, 2.2125158216611317e-05)	(140, 0.0)	(145, 0.0)	(150, 0.0)
veg_5_r1_trim	(1, 2.05685979375804)	(2, 0.0052210379732368995)	(3, 0.010521786449881996)	(4, 0.10758177911551929)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0007797209886272238)	(40, 0.0017563724993521974)	(45, 0.0004016359259130013)	(50, 0.0)	(55, 0.0)	(60, 9.321986730725166e-05)	(65, 0.0007244500562760083)	(70, 0.0002628135323675237)	(75, 0.0)	(80, 4.041745543077373e-05)	(85, 0.00023660367346770283)	(90, 0.0)	(95, 0.0)	(100, 0.0008803968174929898)	(105, 0.0)	(110, 1.001520749166364e-06)	(115, 0.0014692910942672502)	(120, 5.521142054056176e-05)	(125, 0.0007851766529843519)	(130, 2.2156417327057568e-05)	(135, 0.0)	(140, 1.7703466650351153e-05)	(145, 0.0015131162117583972)	(150, 0.0)
veg_5_r2_trim	(1, 1.6417499105872337)	(2, 0.07241699234634692)	(3, 0.006887485685114516)	(4, 0.1567930511571549)	(5, 0.0)	(6, 5.48009710931354e-05)	(7, 0.0)	(8, 0.0)	(9, 1.7436672620543078e-05)	(10, 0.00027001933029526713)	(15, 3.337877330218247e-05)	(20, 0.0006157636388283214)	(25, 0.0009988722458339678)	(30, 0.0013535994421157585)	(35, 0.00021373821349589717)	(40, 0.0)	(45, 9.966152007766782e-06)	(50, 0.0005771037898789621)	(55, 0.0)	(60, 0.00029660866870489166)	(65, 0.00030663233627649356)	(70, 0.0004303758604045028)	(75, 8.97889546536448e-06)	(80, 0.0)	(85, 0.0)	(90, 0.0028074901740465633)	(95, 0.0)	(100, 0.0)	(105, 6.954385539837204e-05)	(110, 0.0)	(115, 0.0)	(120, 0.000142043927390718)	(125, 0.0002432941741641654)	(130, 0.0)	(135, 2.825731478185449e-05)	(140, 0.0)	(145, 0.0)	(150, 0.0)
