Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
veg_1_r1_trim	(1, 31.050401038567024)	(2, 31.457225847446825)	(3, 35.13823403381042)	(4, 35.81911574908951)	(5, 36.08206765940833)	(6, 39.4359344093219)	(7, 39.564497130993445)	(8, 39.681062728312476)	(9, 39.656472416487425)	(10, 39.66886018676805)	(15, 39.60632327823814)	(20, 39.53710383907358)	(25, 39.32332545953662)	(30, 39.217025972056)	(35, 39.10811961579101)	(40, 38.98077270267904)	(45, 38.80770842662095)	(50, 38.54836104600553)	(55, 38.238278417497106)	(60, 37.97779858311709)	(65, 37.70391221951401)	(70, 37.57436285081441)	(75, 36.733774110766745)	(80, 37.29220206264125)	(85, 37.02579484278713)	(90, 36.616368022672376)	(95, 36.13773813801139)	(100, 35.83848358541077)	(105, 35.40513980097715)	(110, 35.02832520187214)	(115, 34.38936065764928)	(120, 33.600325109978876)	(125, 33.032103349289784)	(130, 32.67948866600481)	(135, 32.11715824016183)	(140, 31.625955074814904)	(145, 31.079079343980972)	(150, 30.60052971668242)
veg_1_r2_trim	(1, 30.92643833173669)	(2, 31.167968089544562)	(3, 34.759518337669036)	(4, 35.4568043806603)	(5, 35.76556542182574)	(6, 38.8224623685564)	(7, 39.048476408088725)	(8, 39.0711927330667)	(9, 39.13549586238428)	(10, 39.127709404084186)	(15, 38.926395684831434)	(20, 38.86826474461897)	(25, 38.725721965843626)	(30, 38.625847728257376)	(35, 38.483522762501956)	(40, 38.355139016520795)	(45, 38.20364824619146)	(50, 37.90158097622244)	(55, 37.65643359598024)	(60, 37.58755856348397)	(65, 37.332111798405954)	(70, 37.02636576455758)	(75, 36.25866119233355)	(80, 36.848457817343665)	(85, 36.43783258267151)	(90, 36.06800382562026)	(95, 35.58907094895366)	(100, 35.06827923076206)	(105, 34.56207076211174)	(110, 33.7327344119519)	(115, 33.15864072357986)	(120, 32.62875434697198)	(125, 32.09548313383774)	(130, 31.593716430207213)	(135, 30.827264895168486)	(140, 30.32033853032859)	(145, 29.55080894644086)	(150, 29.070657407175712)
veg_2_r1_trim	(1, 31.051270559937212)	(2, 31.46699490734373)	(3, 35.1646382656511)	(4, 35.843130987044745)	(5, 36.10567613220315)	(6, 39.46327537397129)	(7, 39.59311462475456)	(8, 39.70692471145111)	(9, 39.68065889342789)	(10, 39.695813662656846)	(15, 39.63558987495307)	(20, 39.5661264347826)	(25, 39.356582015049945)	(30, 39.246329482712056)	(35, 39.14416929990507)	(40, 39.014072516237476)	(45, 38.8462062812648)	(50, 38.587239602284185)	(55, 38.278905710481524)	(60, 38.019754016481144)	(65, 37.741463626291164)	(70, 37.6093052529565)	(75, 36.7665955537246)	(80, 37.32656681216112)	(85, 37.05695102036368)	(90, 36.643404767361076)	(95, 36.15923192709546)	(100, 35.859909011839)	(105, 35.41794461437304)	(110, 35.0351534843447)	(115, 34.39000617846246)	(120, 33.593770082736036)	(125, 33.01671527657857)	(130, 32.66383963687827)	(135, 32.0928543054233)	(140, 31.5967514485433)	(145, 31.049898927091697)	(150, 30.567270816402456)
veg_2_r2_trim	(1, 30.907091790879036)	(2, 31.197342759132535)	(3, 34.63494219756935)	(4, 35.38847822498516)	(5, 35.68838362389359)	(6, 38.78491093194441)	(7, 39.03315532429911)	(8, 39.008808928303225)	(9, 39.07319926541779)	(10, 39.08652596472471)	(15, 38.84715983379323)	(20, 38.779941193595526)	(25, 38.62489057031272)	(30, 38.51717893771934)	(35, 38.36514875686162)	(40, 38.227283336335155)	(45, 38.068692850352726)	(50, 37.75884222678552)	(55, 37.5060600803742)	(60, 37.430453073581624)	(65, 37.165839790506816)	(70, 36.848862313838154)	(75, 36.08715319671617)	(80, 36.68047046763676)	(85, 36.25758040218233)	(90, 35.879437068739634)	(95, 35.387100777817125)	(100, 34.85470905653574)	(105, 34.336483086249736)	(110, 33.49672529397397)	(115, 32.91040465182445)	(120, 32.378166956863545)	(125, 31.839952679690082)	(130, 31.33220399658871)	(135, 30.561544813380124)	(140, 30.05469804481756)	(145, 29.284896725392848)	(150, 28.807979367976344)
veg_3_r1_trim	(1, 30.92125173930563)	(2, 31.51754490593657)	(3, 35.34095276280633)	(4, 35.9817982766539)	(5, 36.1723673894132)	(6, 39.51925774979456)	(7, 39.71482591393542)	(8, 39.797901889232115)	(9, 39.84475280287155)	(10, 39.74585920240302)	(15, 39.71941794585848)	(20, 39.61602689258217)	(25, 39.470492694342056)	(30, 39.316248260324414)	(35, 39.2555338013701)	(40, 39.22606149920246)	(45, 39.16811861739868)	(50, 39.12850977992345)	(55, 39.03121008919687)	(60, 38.898333178096195)	(65, 38.86971504255683)	(70, 38.93859300654026)	(75, 38.57437998089903)	(80, 38.89243227704104)	(85, 38.892747559141874)	(90, 38.814894427732575)	(95, 38.82525374949729)	(100, 38.744085024369426)	(105, 38.73040013442355)	(110, 38.649824216631174)	(115, 38.459874380104154)	(120, 38.29025452733589)	(125, 38.123738046940275)	(130, 38.15273813113215)	(135, 37.979125949351165)	(140, 37.80590015782316)	(145, 37.66208157312155)	(150, 37.480599367988646)
veg_3_r2_trim	(1, 30.663327388343543)	(2, 31.14110285715868)	(3, 34.50238612440679)	(4, 35.299201770408885)	(5, 35.621804317654124)	(6, 38.72536512091631)	(7, 38.90255729982369)	(8, 38.8615101876203)	(9, 38.980100717893)	(10, 38.96851063839813)	(15, 38.78127428938877)	(20, 38.5742644083834)	(25, 38.49994347753689)	(30, 38.43567638067009)	(35, 38.31353327088676)	(40, 38.2527419240583)	(45, 38.16543309678462)	(50, 38.139601780048565)	(55, 37.94562582325966)	(60, 38.02132161548045)	(65, 38.07682495116593)	(70, 38.01515916852996)	(75, 37.63967903277313)	(80, 38.10152435588132)	(85, 37.99218319058411)	(90, 37.880139004715566)	(95, 37.733384876618985)	(100, 37.632713922057675)	(105, 37.42911527875954)	(110, 37.23463705601055)	(115, 36.91145416860237)	(120, 36.75156564519081)	(125, 36.520476389455226)	(130, 36.18853080466047)	(135, 35.80736396365488)	(140, 35.34309499976787)	(145, 34.95131936882254)	(150, 34.79857274859697)
veg_4_r1_trim	(1, 30.86934484100283)	(2, 31.532159628876666)	(3, 35.31806857114747)	(4, 35.91469819220155)	(5, 36.196881928413646)	(6, 39.611778756712525)	(7, 39.76662928171252)	(8, 39.8270614223607)	(9, 39.79105910899549)	(10, 39.81260114223777)	(15, 39.73797533803283)	(20, 39.63931579456539)	(25, 39.513945719905294)	(30, 39.38196015177249)	(35, 39.35328373857707)	(40, 39.26560433231514)	(45, 39.16142268040617)	(50, 39.1031180273709)	(55, 39.05838259237957)	(60, 38.958935388600324)	(65, 38.855357995304)	(70, 38.87723720198208)	(75, 38.60527238613558)	(80, 38.94858650928641)	(85, 38.86897810487945)	(90, 38.77854620574956)	(95, 38.67624664491199)	(100, 38.548119140128435)	(105, 38.37838905798218)	(110, 38.275091758210884)	(115, 38.075891100625014)	(120, 37.756626713008494)	(125, 37.55266626128564)	(130, 37.59822729354342)	(135, 37.30045284804796)	(140, 37.09998343815692)	(145, 36.72766153689044)	(150, 36.70350335793537)
veg_4_r2_trim	(1, 30.754689779869576)	(2, 31.041551812852063)	(3, 34.52921956423797)	(4, 35.20345967715915)	(5, 35.517967039944985)	(6, 38.570687598067686)	(7, 38.863568209596124)	(8, 38.90933920391618)	(9, 38.9817766541512)	(10, 38.97294840054709)	(15, 38.782692250359574)	(20, 38.704494423726175)	(25, 38.56326423415893)	(30, 38.545483386632476)	(35, 38.40974917904368)	(40, 38.36180370605983)	(45, 38.408182740757915)	(50, 38.30832829019948)	(55, 38.12606694154958)	(60, 38.074016757328664)	(65, 38.24359771707151)	(70, 38.190198293764865)	(75, 37.69152724108025)	(80, 38.126124898239496)	(85, 37.98294517567835)	(90, 37.859736047673145)	(95, 37.76688742778049)	(100, 37.505830333662956)	(105, 37.27871627184125)	(110, 36.97429964374614)	(115, 36.65763707129702)	(120, 36.257711477997184)	(125, 35.9498211982628)	(130, 35.60420498180739)	(135, 35.20929373263319)	(140, 34.70507782210622)	(145, 34.26556033256427)	(150, 34.055222419896765)
veg_5_r1_trim	(1, 30.87113474427899)	(2, 31.50874790392513)	(3, 35.27161199597243)	(4, 35.88568016748373)	(5, 36.17442429213461)	(6, 39.56484302486016)	(7, 39.72090049752805)	(8, 39.77903272001581)	(9, 39.744142511021344)	(10, 39.76525057470027)	(15, 39.685247977134246)	(20, 39.58042493370452)	(25, 39.449374554025965)	(30, 39.30916112812224)	(35, 39.27105733641199)	(40, 39.19540254924807)	(45, 39.08639085253352)	(50, 39.02310422773977)	(55, 38.97694719008386)	(60, 38.87858483178905)	(65, 38.76958939378494)	(70, 38.79083638093445)	(75, 38.51866255965554)	(80, 38.87152971934406)	(85, 38.79330444127446)	(90, 38.70399075878156)	(95, 38.60059512656213)	(100, 38.47498143225045)	(105, 38.30360165462373)	(110, 38.197760339532714)	(115, 38.00040842533598)	(120, 37.67961550107031)	(125, 37.474881110261755)	(130, 37.52152730777222)	(135, 37.219195184685056)	(140, 37.01770984961853)	(145, 36.64315178380234)	(150, 36.619840194541354)
veg_5_r2_trim	(1, 30.799447850324796)	(2, 31.030606192898322)	(3, 34.46709214140623)	(4, 35.231093652518105)	(5, 35.59259732540373)	(6, 38.72674210667986)	(7, 38.972624000523695)	(8, 38.94379913810029)	(9, 39.026761107671106)	(10, 39.032387363952225)	(15, 38.82776441381369)	(20, 38.73568064325579)	(25, 38.59101501711011)	(30, 38.56773588991375)	(35, 38.42567988918539)	(40, 38.37339810984024)	(45, 38.41627627387684)	(50, 38.30828978581524)	(55, 38.12168740767498)	(60, 38.06747530102072)	(65, 38.23672717079394)	(70, 38.18119012415451)	(75, 37.67517692922447)	(80, 38.113050414389)	(85, 37.970845292881606)	(90, 37.848393939427524)	(95, 37.75150814542682)	(100, 37.4871949290288)	(105, 37.2594342079635)	(110, 36.94879301853789)	(115, 36.6288200155651)	(120, 36.22519357222402)	(125, 35.91028053251292)	(130, 35.554402183621775)	(135, 35.15442895155169)	(140, 34.63870744261233)	(145, 34.19037372282977)	(150, 33.976272993157004)
